Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,8086375.96,753385.17,1168587.00,3550,0,3304,0,8788,0,702,0,36,0.7886697238818835,7104
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,13562117.16,265696.13,103430.00,3236,0,1552,0,8019,0,1117,0,60,0.9640122924962422,10416
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,2226678.05,89164.34,8890.00,944,0,3086,0,2716,0,92,0,11,0.7619987833792714,924
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,2673575.26,2212546.41,2162466.00,1992,0,1065,0,4222,0,779,0,19,0.9499272587329134,6396
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,4206000.89,1813768.62,3233010.00,1419,0,332,0,3548,0,510,0,41,0.5210091345368136,10368
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,5163035.51,1054836.44,2156361.00,1291,0,547,0,3198,0,453,0,15,0.9521986230001389,4356
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1250175.07,873865.54,277536.31,1077,0,652,0,1839,0,234,0,22,0.8551495154432834,2496
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1079574.09,904612.15,342302.34,787,0,319,0,1739,0,259,0,23,0.9347042768220474,3024
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1485474.82,393927.15,426122.56,849,0,795,0,1511,0,190,0,22,0.8760929584955292,1872
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,17169170.58,0.00,0,5287,0,1943,0,13295,0,1768,55,0.9730358729660611,21096
